"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Derlis González","https://www.transfermarkt.com/derlis-gonzalez/profil/spieler/182577","22/23","Knee injury",2023-03-20,2023-07-04,"106 days","20","Dynamo Kyiv"
"Derlis González","https://www.transfermarkt.com/derlis-gonzalez/profil/spieler/182577","20/21","Cruciate ligament tear",2020-11-02,2021-05-01,"180 days","29","FC Basel 1893"
"Derlis González","https://www.transfermarkt.com/derlis-gonzalez/profil/spieler/182577","20/21","Inner ligament injury",2020-11-02,2021-05-01,"180 days","29","FC Basel 1893"
"Eduardo Sasha","https://www.transfermarkt.com/eduardo-sasha/profil/spieler/162883","22/23","muscular problems",2022-11-03,2022-12-01,"28 days","3","Clube Atlético Mineiro"
"Felippe Cardoso","https://www.transfermarkt.com/felippe-cardoso/profil/spieler/596067","21/22","Torn ankle ligaments",2022-05-26,2022-07-25,"60 days","12","Vegalta Sendai"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","23/24","unknown injury",2024-03-30,2024-04-07,"8 days","2","Frosinone Calcio"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","23/24","unknown injury",2023-09-26,2023-10-22,"26 days","4","Frosinone Calcio"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","22/23","Fitness",2023-02-15,2023-06-14,"119 days","27","Juventus FC"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","21/22","Patellar tendon rupture",2022-02-24,2023-02-14,"355 days","46","Juventus FC"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","21/22","influenza",2022-01-06,2022-01-06,"0 days","1","Juventus FC"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","21/22","muscular problems",2021-08-23,2021-09-30,"38 days","7","Juventus FC"
"Kaio Jorge","https://www.transfermarkt.com/kaio-jorge/profil/spieler/620477","20/21","muscular problems",2021-02-15,2021-04-08,"52 days","10","Santos FC"
"Danilo Fernandes","https://www.transfermarkt.com/danilo-fernandes/profil/spieler/99439","22/23","Knee injury",2022-09-02,2023-05-19,"259 days","43","Esporte Clube Bahia"
"Daniel","https://www.transfermarkt.com/daniel/profil/spieler/530421","22/23","Knee injury",2023-03-15,2023-04-20,"36 days","5","San Jose Earthquakes"
"Daniel","https://www.transfermarkt.com/daniel/profil/spieler/530421","20/21","Corona virus",2020-11-17,2020-12-03,"16 days","4","Sport Club Internacional"
"Victor Cuesta","https://www.transfermarkt.com/victor-cuesta/profil/spieler/104326","17/18","Muscle injury",2017-11-06,2017-11-16,"10 days","3","Sport Club Internacional"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","20/21","Cruciate ligament tear",2021-01-13,2022-03-10,"421 days","89","Sport Club Internacional"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","19/20","Thigh problems",2019-09-26,2019-10-31,"35 days","8","Sport Club Internacional"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","19/20","Thigh problems",2019-05-19,2019-08-04,"77 days","15","Sport Club Internacional"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","18/19","Muscle injury",2018-09-19,2018-10-22,"33 days","4","Sport Club Internacional"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","18/19","Knee injury",2018-07-05,2018-08-02,"28 days","4","Sport Club Internacional"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","17/18","Head injury",2017-11-19,2017-12-04,"15 days","4","Panathinaikos FC"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","17/18","Elbow injury",2017-08-21,2017-09-18,"28 days","4","Panathinaikos FC"
"Rodrigo Moledo","https://www.transfermarkt.com/rodrigo-moledo/profil/spieler/119434","20/21","Cruciate ligament tear",2021-01-13,2022-03-10,"421 days","89","Metalist Kharkiv"
"William Klaus","https://www.transfermarkt.com/william-klaus/profil/spieler/484599","23/24","Hip injury",2023-12-22,2024-04-09,"109 days","14","RWD Molenbeek"
"William Klaus","https://www.transfermarkt.com/william-klaus/profil/spieler/484599","23/24","Knock",2023-11-29,2023-12-13,"14 days","3","RWD Molenbeek"
"William Klaus","https://www.transfermarkt.com/william-klaus/profil/spieler/484599","17/18","Broken arm",2017-09-09,2017-11-11,"63 days","13","Sport Club Internacional"
"Thales","https://www.transfermarkt.com/thales/profil/spieler/290500","23/24","unknown injury",2024-03-03,2024-03-11,"8 days","2","PSS Sleman"
"Bruno Fuchs","https://www.transfermarkt.com/bruno-fuchs/profil/spieler/563692","22/23","Hamstring injury",2023-06-26,2023-07-28,"32 days","5","Clube Atlético Mineiro"
"Bruno Fuchs","https://www.transfermarkt.com/bruno-fuchs/profil/spieler/563692","22/23","Tendon irritation",2022-10-01,2022-10-24,"23 days","5","CSKA Moscow"
"Bruno Fuchs","https://www.transfermarkt.com/bruno-fuchs/profil/spieler/563692","22/23","Fitness",2022-07-19,2022-08-14,"26 days","4","CSKA Moscow"
"Bruno Fuchs","https://www.transfermarkt.com/bruno-fuchs/profil/spieler/563692","21/22","Tendonitis",2022-06-20,2022-07-18,"28 days","1","CSKA Moscow"
